Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QJ000982",38,65.79,31.58,2.63,-,-,14
"60QJ000983",39,10.26,61.54,28.21,-,-,46
"60QJ000984",25,72.00,24.00,-,-,4.00,11
"60QJ000985",34,52.94,44.12,2.94,-,-,17
"60QJ000986",42,45.24,45.24,9.52,-,-,27
"60QJ000987",60,56.67,36.67,6.67,-,-,30
"60QJ000988",33,36.36,48.48,15.15,-,-,26
"60QJ000989",44,50.00,38.64,11.36,-,-,27
"60QJ000990",26,42.31,46.15,7.69,3.85,-,19
"60QJ000991",31,45.16,38.71,12.90,3.23,-,23
"60QJ000992",40,45.00,45.00,10.00,-,-,26
"60QJ000993",42,33.33,38.10,28.57,-,-,40
"60QJ000994",37,72.97,21.62,5.41,-,-,12
"60QJ000995",36,8.33,44.44,38.89,2.78,5.56,56
"60QJ000996",75,37.33,45.33,13.33,4.00,-,63
"60QJ000997",53,69.81,28.30,1.89,-,-,17
"60QJ000998",53,90.57,9.43,-,-,-,5
"60QJ000999",35,71.43,25.71,2.86,-,-,11
"60QJ001000",32,71.88,28.13,-,-,-,9
"60QJ001001",25,64.00,36.00,-,-,-,9
"60QJ001002",37,56.76,37.84,5.41,-,-,18
"60QJ001003",54,75.93,20.37,1.85,-,1.85,17
"60QJ001004",51,80.39,13.73,5.88,-,-,13
"60QJ001005",76,1.32,60.53,27.63,9.21,1.32,113
"60QJ001006",54,62.96,29.63,7.41,-,-,24
"60QJ001007",29,62.07,31.03,6.90,-,-,13
"60QJ001008",49,44.90,36.73,16.33,2.04,-,37
"60QJ001009",32,62.50,31.25,6.25,-,-,14
"60QJ001010",30,50.00,43.33,6.67,-,-,17
"60QJ001011",50,48.00,28.00,22.00,2.00,-,39
"60QJ001012",40,32.50,60.00,2.50,5.00,-,32
"60QJ001013",32,43.75,43.75,9.38,3.13,-,23
"60QJ001014",20,55.00,25.00,15.00,5.00,-,14
"60QJ001015",32,40.63,50.00,6.25,3.13,-,23
"60QJ001016",26,42.31,46.15,7.69,3.85,-,19
"60QJ001017",44,56.82,34.09,4.55,4.55,-,25
"60QJ001018",37,32.43,51.35,16.22,-,-,31
"60QJ001019",66,25.76,57.58,16.67,-,-,60
"60QJ001020",34,76.47,17.65,5.88,-,-,10
"60QJ001021",55,67.27,30.91,1.82,-,-,19
"60QJ001022",43,69.77,27.91,2.33,-,-,14
"60QJ001023",31,80.65,19.35,-,-,-,6
"60QJ001024",46,58.70,39.13,2.17,-,-,20
"60QJ001025",38,34.21,52.63,10.53,2.63,-,31
"60QJ001026",54,40.74,55.56,3.70,-,-,34
"60QJ001027",31,58.06,38.71,-,3.23,-,15
"60QJ001028",32,34.38,50.00,9.38,6.25,-,28
"60QJ001029",37,59.46,29.73,10.81,-,-,19
"60QJ001030",28,14.29,46.43,39.29,-,-,35
"60QJ001031",50,18.00,56.00,22.00,4.00,-,56
"60QJ001032",46,10.87,36.96,43.48,8.70,-,69
"60QJ001033",54,62.96,31.48,5.56,-,-,23
"60QJ001034",34,47.06,38.24,14.71,-,-,23
"60QJ001035",34,58.82,35.29,5.88,-,-,16
"60QJ001036",21,66.67,23.81,4.76,4.76,-,10
"60QJ001037",23,52.17,34.78,13.04,-,-,14
"60QJ001038",32,56.25,34.38,6.25,3.13,-,18
"60QJ001039",24,25.00,58.33,16.67,-,-,22
"60QJ001040",24,70.83,25.00,4.17,-,-,8
"60QJ001041",38,55.26,36.84,7.89,-,-,20
"60QJ001042",49,81.63,14.29,4.08,-,-,11
"60QJ001043",50,72.00,24.00,4.00,-,-,16
"60QJ001044",25,4.00,48.00,40.00,4.00,4.00,39
"60QJ001045",58,8.62,67.24,17.24,5.17,1.72,72
"60QJ001046",42,85.71,14.29,-,-,-,6
"60QJ001047",42,90.48,7.14,2.38,-,-,5
"60QJ001048",41,85.37,14.63,-,-,-,6
"60QJ001049",42,61.90,35.71,2.38,-,-,17
"60QJ001050",58,68.97,31.03,-,-,-,18
"60QJ001051",66,78.79,21.21,-,-,-,14
"60QJ001052",59,74.58,22.03,1.69,1.69,-,18
"60QJ001053",68,63.24,35.29,1.47,-,-,26
"60QJ001054",42,88.10,11.90,-,-,-,5
"60QJ001055",41,80.49,19.51,-,-,-,8
"60QJ001056",54,70.37,16.67,9.26,3.70,-,25
"60QJ001057",47,76.60,23.40,-,-,-,11
"60QJ001058",56,66.07,26.79,7.14,-,-,23
"60QJ001059",46,89.13,8.70,2.17,-,-,6
"60QJ001060",45,75.56,24.44,-,-,-,11
"60QJ001061",36,75.00,22.22,2.78,-,-,10
"60QJ001062",53,62.26,32.08,3.77,1.89,-,24
"60QJ001063",33,39.39,39.39,21.21,-,-,27
"60QJ001064",31,3.23,64.52,29.03,3.23,-,41
"60QJ001065",67,13.43,62.69,19.40,2.99,1.49,78
"60QJ001066",41,4.88,53.66,36.59,4.88,-,58
"60QJ001067",42,7.14,69.05,14.29,4.76,4.76,55
"60QJ001068",84,4.76,52.38,34.52,5.95,2.38,128
"60QJ001069",50,60.00,32.00,6.00,2.00,-,25
"60QJ001070",36,69.44,19.44,11.11,-,-,15
"60QJ001071",43,62.79,30.23,4.65,-,2.33,23
"60QJ001072",41,85.37,14.63,-,-,-,6
"60QJ001073",54,59.26,37.04,1.85,1.85,-,25
"60QJ001074",41,73.17,21.95,4.88,-,-,13
"60QJ001075",44,59.09,34.09,6.82,-,-,21
"60QJ001076",42,64.29,23.81,4.76,7.14,-,23
"60QJ001077",50,74.00,22.00,4.00,-,-,15
"60QJ001078",83,62.65,32.53,4.82,-,-,35
"60QJ001079",47,36.17,51.06,12.77,-,-,36
"60QJ001080",47,48.94,44.68,6.38,-,-,27
"60QJ001081",50,52.00,32.00,14.00,2.00,-,33
"60QJ001082",47,48.94,44.68,6.38,-,-,27
"60QJ001083",81,51.85,45.68,2.47,-,-,41
"60QJ001084",42,73.81,26.19,-,-,-,11
"60QJ001085",76,72.37,23.68,3.95,-,-,24
"60QJ001086",48,35.42,56.25,6.25,2.08,-,36
"60QJ001087",47,63.83,34.04,2.13,-,-,18
"60QJ001088",36,52.78,27.78,16.67,2.78,-,25
"60QJ001089",34,70.59,20.59,5.88,2.94,-,14
"60QJ001090",80,71.25,22.50,3.75,-,2.50,34
"60QJ001091",45,51.11,40.00,4.44,2.22,2.22,29
"60QJ001092",54,57.41,31.48,7.41,3.70,-,31
"60QJ001093",65,35.38,49.23,13.85,1.54,-,53
"60QJ001094",47,57.45,27.66,14.89,-,-,27
"60QJ001095",60,68.33,25.00,5.00,-,1.67,27
"60QJ001096",65,50.77,32.31,13.85,1.54,1.54,46
"60QJ001097",44,68.18,25.00,4.55,2.27,-,18
"60QJ001098",29,-,51.72,37.93,10.34,-,46
"60QJ001099",57,26.32,68.42,5.26,-,-,45
"60QJ001100",54,46.30,27.78,20.37,3.70,1.85,47
"60QJ001101",51,13.73,54.90,29.41,1.96,-,61
"60QJ001102",56,7.14,55.36,35.71,1.79,-,74
"60QJ001103",60,8.33,58.33,33.33,-,-,75
"60QJ001104",73,61.64,31.51,5.48,1.37,-,34
"60QJ001105",58,72.41,25.86,1.72,-,-,17
"60QJ001106",65,29.23,52.31,16.92,1.54,-,59
"60QJ001107",48,31.25,56.25,8.33,4.17,-,41
"60QJ001108",63,26.98,55.56,15.87,1.59,-,58
"60QJ001109",54,24.07,44.44,22.22,7.41,1.85,64
"60QJ001110",62,70.97,22.58,4.84,1.61,-,23
"60QJ001111",24,4.17,66.67,29.17,-,-,30
"60QJ001112",90,60.00,35.56,3.33,1.11,-,41
"60QJ001113",61,67.21,27.87,4.92,-,-,23
"60QJ001114",41,34.15,60.98,4.88,-,-,29
"60QJ001115",50,66.00,32.00,2.00,-,-,18
"60QJ001116",55,87.27,12.73,-,-,-,7
"60QJ001117",42,80.95,16.67,-,2.38,-,10
"60QJ001118",45,82.22,15.56,2.22,-,-,9
"60QJ001119",39,87.18,12.82,-,-,-,5
"60QJ001120",40,50.00,42.50,7.50,-,-,23
"60QJ001121",34,58.82,32.35,5.88,-,2.94,19
"60QJ001122",62,35.48,54.84,9.68,-,-,46
"60QJ001123",58,56.90,36.21,3.45,3.45,-,31
"60QJ001124",37,56.76,40.54,2.70,-,-,17
"60QJ001125",37,35.14,45.95,16.22,2.70,-,32
"60QJ001126",47,53.19,36.17,8.51,2.13,-,28
"60QJ001127",33,63.64,27.27,9.09,-,-,15
"60QJ001128",66,53.03,45.45,1.52,-,-,32
"60QJ001129",81,71.60,27.16,1.23,-,-,24
"60QJ001130",36,25.00,41.67,27.78,5.56,-,41
"60QJ001131",45,71.11,26.67,2.22,-,-,14
"60QJ001132",46,63.04,34.78,2.17,-,-,18
"60QJ001133",57,43.86,42.11,10.53,1.75,1.75,43
"60QJ001134",92,61.96,34.78,2.17,1.09,-,39
"60QJ001135",40,55.00,42.50,2.50,-,-,19
"60QJ001136",41,41.46,51.22,4.88,-,2.44,29
"60QJ001137",39,66.67,25.64,7.69,-,-,16
"60QJ001138",42,35.71,57.14,7.14,-,-,30
"60QJ001139",46,73.91,23.91,2.17,-,-,13
"60QJ001140",50,76.00,18.00,6.00,-,-,15
"60QJ001141",49,61.22,32.65,6.12,-,-,22
"60QJ001142",40,12.50,52.50,32.50,2.50,-,50
"60QJ001143",55,72.73,21.82,3.64,1.82,-,19
"60QJ001144",35,54.29,40.00,5.71,-,-,18
"60QJ001145",46,80.43,19.57,-,-,-,9
"60QJ001146",35,14.29,71.43,8.57,2.86,2.86,40
"60QJ001147",38,36.84,55.26,7.89,-,-,27
"60QJ001148",88,20.45,61.36,18.18,-,-,86
"60QJ001149",63,74.60,23.81,1.59,-,-,17
"60QJ001150",38,73.68,18.42,7.89,-,-,13
"60QJ001151",42,69.05,21.43,7.14,-,2.38,25
"60QJ001152",39,64.10,30.77,5.13,-,-,16
"60QJ001153",50,34.00,58.00,8.00,-,-,37
"60QJ001154",48,45.83,45.83,8.33,-,-,30
"60QJ001155",93,72.04,23.66,4.30,-,-,30
"60QJ001156",88,73.86,22.73,2.27,1.14,-,27
"60QJ001157",32,50.00,46.88,3.13,-,-,17
"60QJ001158",62,82.26,14.52,-,1.61,1.61,16
"60QJ001159",84,83.33,15.48,-,1.19,-,16
"60QJ001160",61,18.03,44.26,37.70,-,-,73
"60QJ001161",30,16.67,56.67,23.33,3.33,-,34
"60QJ001162",46,19.57,58.70,15.22,6.52,-,50
"60QJ001163",43,9.30,51.16,37.21,2.33,-,57
"60QJ001164",42,19.05,47.62,26.19,4.76,2.38,52
"60QJ001165",40,30.00,55.00,12.50,2.50,-,35
"60QJ001166",26,23.08,50.00,23.08,3.85,-,28
"60QJ001167",56,14.29,66.07,17.86,-,1.79,61
"60QJ001168",43,9.30,51.16,32.56,4.65,2.33,60
"60QJ001169",49,4.08,59.18,32.65,2.04,2.04,68
"60QJ001170",93,48.39,43.01,8.60,-,-,56
"60QJ001171",52,67.31,30.77,1.92,-,-,18
"60QJ001172",38,65.79,34.21,-,-,-,13
"60QJ001173",47,57.45,27.66,14.89,-,-,27
"60QJ001174",61,50.82,37.70,9.84,1.64,-,38
"60QJ001175",39,56.41,33.33,10.26,-,-,21
"60QJ001176",47,40.43,51.06,6.38,2.13,-,33
"60QJ001177",43,46.51,46.51,6.98,-,-,26
"60QJ001178",50,70.00,26.00,-,2.00,2.00,20
"60QJ001179",41,9.76,65.85,24.39,-,-,47
"60QJ001180",48,22.92,68.75,6.25,-,2.08,43
"60QJ001181",41,2.44,58.54,34.15,2.44,2.44,59
"60QJ001182",52,21.15,51.92,25.00,-,1.92,57
"60QJ001183",28,60.71,35.71,3.57,-,-,12
"60QJ001184",53,49.06,47.17,3.77,-,-,29
"60QJ001185",48,60.42,25.00,14.58,-,-,26
"60QJ001186",51,11.76,58.82,29.41,-,-,60
"60QJ001187",46,15.22,58.70,26.09,-,-,51
"60QJ001188",46,17.39,69.57,10.87,2.17,-,45
"60QJ001189",52,55.77,42.31,1.92,-,-,24
"60QJ001190",68,55.88,39.71,2.94,1.47,-,34
"60QJ001191",44,15.91,50.00,27.27,4.55,2.27,56
"60QJ001192",40,5.00,37.50,50.00,7.50,-,64
"60QJ001193",42,4.76,52.38,38.10,4.76,-,60
"60QJ001194",34,44.12,32.35,20.59,-,2.94,29
"60QJ001195",48,54.17,41.67,4.17,-,-,24
"60QJ001196",57,36.84,47.37,14.04,-,1.75,47
"60QJ001197",36,30.56,47.22,16.67,5.56,-,35
"60QJ001198",64,7.81,65.63,25.00,1.56,-,77
"60QJ001199",29,3.45,55.17,34.48,6.90,-,42
"60QJ001200",47,6.38,61.70,27.66,4.26,-,61
"60QJ001201",52,1.92,53.85,42.31,1.92,-,75
"60QJ001202",47,23.40,48.94,25.53,2.13,-,50
"60QJ001203",58,8.62,60.34,25.86,5.17,-,74
"60QJ001204",54,68.52,27.78,-,-,3.70,24
"60QJ001205",44,61.36,27.27,6.82,4.55,-,24
"60QJ001206",22,63.64,31.82,4.55,-,-,9
"60QJ001207",49,44.90,48.98,6.12,-,-,30
"60QJ001208",38,55.26,42.11,2.63,-,-,18
"60QJ001209",52,53.85,44.23,1.92,-,-,25
"60QJ001210",62,59.68,35.48,4.84,-,-,28
"60QJ001211",39,20.51,64.10,15.38,-,-,37
"60QJ001212",64,3.13,64.06,32.81,-,-,83
"60QJ001213",41,70.73,26.83,-,-,2.44,15
"60QJ001214",52,-,36.54,48.08,13.46,1.92,95
"60QJ001215",50,4.00,46.00,48.00,2.00,-,74
"60QJ001216",47,6.38,63.83,21.28,6.38,2.13,63
"60QJ001217",50,8.00,46.00,42.00,4.00,-,71
"60QJ001218",51,-,64.71,35.29,-,-,69
"60QJ001219",39,2.56,61.54,28.21,5.13,2.56,56
"60QJ001220",42,4.76,73.81,21.43,-,-,49
"60QJ001221",60,8.33,68.33,20.00,3.33,-,71
"60QJ001222",30,10.00,70.00,16.67,3.33,-,34
"60QJ001223",35,5.71,37.14,42.86,11.43,2.86,61
"60QJ001224",71,14.08,47.89,25.35,8.45,4.23,100
"60QJ001225",48,56.25,33.33,8.33,2.08,-,27
"60QJ001226",37,5.41,27.03,59.46,5.41,2.70,70
"60QJ001227",49,22.45,55.10,18.37,2.04,2.04,52
"60QJ001228",39,41.03,48.72,10.26,-,-,27
"60QJ001229",93,44.09,49.46,6.45,-,-,58
"60QJ001230",41,31.71,31.71,34.15,2.44,-,44
"60QJ001231",40,-,32.50,50.00,15.00,2.50,75
"60QJ001232",42,14.29,76.19,9.52,-,-,40
"60QJ001233",42,4.76,54.76,35.71,4.76,-,59
"60QJ001234",32,15.63,59.38,25.00,-,-,35
"60QJ001235",53,56.60,22.64,20.75,-,-,34
"60QJ001236",65,9.23,46.15,32.31,9.23,3.08,104
"60QJ001237",27,3.70,48.15,40.74,7.41,-,41
"60QJ001238",49,16.33,40.82,34.69,4.08,4.08,68
"60QJ001239",39,-,56.41,38.46,2.56,2.56,59
"60QJ001240",35,31.43,48.57,14.29,2.86,2.86,35
"60QJ001241",62,48.39,50.00,1.61,-,-,33
"60QJ001242",105,9.52,46.67,35.24,6.67,1.90,153
"60QJ001243",31,22.58,48.39,25.81,3.23,-,34
"60QJ001244",47,17.02,44.68,34.04,4.26,-,59
"60QJ001245",90,53.33,38.89,7.78,-,-,49
"60QJ001246",41,36.59,48.78,14.63,-,-,32
"60QJ001247",48,10.42,50.00,31.25,4.17,4.17,68
"60QJ001248",36,30.56,63.89,2.78,2.78,-,28
"60QJ001249",115,60.87,36.52,0.87,1.74,-,50
"60QJ001250",42,7.14,61.90,23.81,7.14,-,55
"60QJ001251",61,14.75,55.74,27.87,1.64,-,71
"60QJ001252",90,74.44,20.00,5.56,-,-,28
"60QJ001253",45,6.67,64.44,26.67,2.22,-,56
"60QJ001254",41,-,46.34,51.22,-,2.44,65
"60QJ001255",61,3.28,24.59,65.57,6.56,-,107
"60QJ001256",51,3.92,43.14,50.98,1.96,-,77
"60QJ001257",47,14.89,55.32,27.66,2.13,-,55
"60QJ001258",50,2.00,38.00,50.00,8.00,2.00,85
"60QJ001259",51,-,33.33,58.82,5.88,1.96,90
"60QJ001260",49,12.24,59.18,24.49,4.08,-,59
"60QJ001261",40,2.50,50.00,42.50,5.00,-,60
"60QJ001262",46,58.70,30.43,4.35,6.52,-,27
"60QJ001263",163,55.83,36.81,7.36,-,-,84
"60QJ001264",52,59.62,36.54,1.92,1.92,-,24
"60QJ001265",65,69.23,26.15,4.62,-,-,23
"60QJ001266",186,59.14,30.65,9.14,0.54,0.54,98
"60QJ001267",53,88.68,9.43,1.89,-,-,7
"60QJ001268",30,76.67,20.00,3.33,-,-,8
"60QJ001269",63,49.21,44.44,6.35,-,-,36
"60QJ001270",57,71.93,24.56,3.51,-,-,18
"60QJ001271",61,60.66,32.79,6.56,-,-,28
"60QJ001272",52,26.92,48.08,23.08,1.92,-,52
"60QJ001273",48,12.50,68.75,18.75,-,-,51
"60QJ001274",55,23.64,65.45,9.09,1.82,-,49
"60QJ001275",73,21.92,67.12,10.96,-,-,65
"60QJ001276",71,74.65,23.94,1.41,-,-,19
"60QJ001277",63,82.54,17.46,-,-,-,11
"60QJ001278",77,63.64,31.17,2.60,2.60,-,34
"60QJ001279",44,38.64,56.82,4.55,-,-,29
"60QJ001280",42,64.29,33.33,2.38,-,-,16
"60QJ001281",40,42.50,50.00,2.50,2.50,2.50,29
"60QJ001282",85,49.41,43.53,4.71,1.18,1.18,52
"60QJ001283",70,1.43,62.86,31.43,4.29,-,97
"60QJ001284",33,24.24,57.58,18.18,-,-,31
"60QJ001285",70,4.29,58.57,30.00,7.14,-,98
"60QJ001286",26,61.54,34.62,3.85,-,-,11
"60QJ001287",238,67.65,26.89,5.04,-,0.42,93
"EAST AYRSHIRE",50346,33.49,44.09,18.57,3.07,0.79,47309
"60QK000001",21,4.76,52.38,28.57,14.29,-,32
"60QK000002",30,3.33,53.33,30.00,10.00,3.33,47
"60QK000003",49,4.08,38.78,36.73,16.33,4.08,87
"60QK000004",61,8.20,36.07,36.07,16.39,3.28,104
"60QK000005",56,28.57,37.50,30.36,1.79,1.79,63
"60QK000006",56,14.29,23.21,42.86,17.86,1.79,95
"60QK000007",80,7.50,40.00,41.25,7.50,3.75,135
"60QK000008",48,54.17,35.42,8.33,2.08,-,28
"60QK000009",43,60.47,30.23,9.30,-,-,21
"60QK000010",59,52.54,40.68,6.78,-,-,32
"60QK000011",32,15.63,43.75,37.50,3.13,-,41
"60QK000012",32,12.50,46.88,37.50,3.13,-,42
"60QK000013",62,20.97,48.39,27.42,3.23,-,70
"60QK000014",52,13.46,42.31,32.69,7.69,3.85,76
"60QK000015",80,3.75,35.00,50.00,8.75,2.50,137
"60QK000016",68,10.29,36.76,39.71,13.24,-,106
"60QK000017",33,-,36.36,48.48,12.12,3.03,60
"60QK000018",20,25.00,50.00,20.00,5.00,-,21
"60QK000019",46,13.04,41.30,39.13,4.35,2.17,65
"60QK000020",61,9.84,37.70,34.43,13.11,4.92,103
"60QK000021",43,6.98,41.86,37.21,9.30,4.65,70
"60QK000022",63,3.17,28.57,57.14,7.94,3.17,113
"60QK000023",42,38.10,50.00,11.90,-,-,31
"60QK000024",48,29.17,52.08,16.67,2.08,-,44
"60QK000025",60,28.33,26.67,35.00,6.67,3.33,84
"60QK000026",31,32.26,41.94,19.35,6.45,-,31
"60QK000027",71,29.58,45.07,22.54,1.41,1.41,71
"60QK000028",39,7.69,53.85,20.51,12.82,5.13,66
"60QK000029",26,15.38,42.31,30.77,11.54,-,36
"60QK000030",65,4.62,38.46,49.23,7.69,-,104
"60QK000031",39,5.13,25.64,46.15,20.51,2.56,74
"60QK000032",71,7.04,25.35,39.44,18.31,9.86,145
"60QK000033",54,3.70,27.78,44.44,14.81,9.26,108
"60QK000034",69,8.70,30.43,46.38,14.49,-,115
"60QK000035",26,-,30.77,53.85,7.69,7.69,50
"60QK000036",60,3.33,38.33,48.33,5.00,5.00,104
"60QK000037",77,9.09,36.36,33.77,18.18,2.60,130
"60QK000038",55,10.91,30.91,49.09,9.09,-,86
"60QK000039",36,8.33,33.33,41.67,11.11,5.56,62
"60QK000040",39,7.69,28.21,41.03,17.95,5.13,72
"60QK000041",22,-,13.64,36.36,27.27,22.73,58
"60QK000042",20,25.00,65.00,10.00,-,-,17
"60QK000043",46,2.17,41.30,52.17,2.17,2.17,79
"60QK000044",57,3.51,24.56,56.14,12.28,3.51,107
"60QK000045",51,19.61,27.45,35.29,9.80,7.84,81
"60QK000046",31,-,38.71,45.16,12.90,3.23,56
"60QK000047",32,9.38,40.63,37.50,12.50,-,49
"60QK000048",37,72.97,24.32,2.70,-,-,11
"60QK000049",71,47.89,42.25,9.86,-,-,44
"60QK000050",71,56.34,36.62,5.63,-,1.41,41
"60QK000051",24,79.17,20.83,-,-,-,5
"60QK000052",61,45.90,42.62,11.48,-,-,40
"60QK000053",76,59.21,36.84,2.63,1.32,-,35
"60QK000054",42,40.48,52.38,4.76,2.38,-,29
"60QK000055",56,50.00,44.64,3.57,1.79,-,32
"60QK000056",39,56.41,33.33,5.13,2.56,2.56,25
"60QK000057",39,53.85,30.77,12.82,2.56,-,25
"60QK000058",66,46.97,45.45,7.58,-,-,40
"60QK000059",66,18.18,53.03,22.73,6.06,-,77
"60QK000060",53,28.30,54.72,16.98,-,-,47
"60QK000061",58,51.72,34.48,10.34,3.45,-,38
"60QK000062",58,41.38,44.83,8.62,3.45,1.72,46
"60QK000063",75,52.00,42.67,5.33,-,-,40
"60QK000064",67,53.73,40.30,5.97,-,-,35
"60QK000065",54,57.41,40.74,1.85,-,-,24
"60QK000066",52,19.23,55.77,23.08,1.92,-,56
"60QK000067",56,51.79,41.07,7.14,-,-,31
"60QK000068",49,63.27,34.69,2.04,-,-,19
"60QK000069",42,42.86,35.71,19.05,2.38,-,34
"60QK000070",37,35.14,54.05,5.41,5.41,-,30
"60QK000071",62,56.45,30.65,11.29,1.61,-,36
"60QK000072",53,24.53,56.60,11.32,7.55,-,54
"60QK000073",68,23.53,52.94,22.06,1.47,-,69
"60QK000074",63,52.38,30.16,15.87,1.59,-,42
"60QK000075",76,57.89,23.68,15.79,1.32,1.32,55
"60QK000076",33,69.70,24.24,6.06,-,-,12
"60QK000077",41,19.51,43.90,29.27,7.32,-,51
"60QK000078",43,67.44,30.23,2.33,-,-,15
"60QK000079",43,20.93,60.47,18.60,-,-,42
"60QK000080",48,41.67,52.08,6.25,-,-,31
"60QK000081",51,39.22,37.25,21.57,1.96,-,44
"60QK000082",31,22.58,61.29,16.13,-,-,29
"60QK000083",64,54.69,40.63,4.69,-,-,32
"60QK000084",56,44.64,35.71,16.07,3.57,-,44
"60QK000085",47,40.43,40.43,17.02,2.13,-,38
"60QK000086",39,33.33,51.28,15.38,-,-,32
"60QK000087",48,41.67,47.92,8.33,-,2.08,36
"60QK000088",55,45.45,43.64,10.91,-,-,36
"60QK000089",43,53.49,41.86,2.33,2.33,-,23
"60QK000090",51,29.41,50.98,15.69,3.92,-,48
"60QK000091",46,71.74,26.09,2.17,-,-,14
"60QK000092",23,26.09,43.48,26.09,4.35,-,25
"60QK000093",50,56.00,38.00,4.00,-,2.00,31
"60QK000094",44,54.55,38.64,6.82,-,-,23
"60QK000095",51,43.14,49.02,3.92,1.96,1.96,36
"60QK000096",48,62.50,35.42,2.08,-,-,19
"60QK000097",44,20.45,65.91,13.64,-,-,41
"60QK000098",47,31.91,44.68,12.77,10.64,-,48
"60QK000099",51,52.94,39.22,3.92,3.92,-,30
"60QK000100",56,35.71,48.21,12.50,1.79,1.79,48
"60QK000101",52,23.08,46.15,25.00,5.77,-,59
"60QK000102",44,40.91,40.91,15.91,2.27,-,35
"60QK000103",53,20.75,47.17,26.42,3.77,1.89,63
"60QK000104",49,22.45,42.86,26.53,4.08,4.08,63
"60QK000105",69,40.58,42.03,15.94,1.45,-,54
"60QK000106",49,32.65,40.82,24.49,2.04,-,47
"60QK000107",52,32.69,48.08,15.38,3.85,-,47
"60QK000108",61,40.98,47.54,9.84,1.64,-,44
"60QK000109",48,10.42,54.17,29.17,6.25,-,63
"60QK000110",66,33.33,50.00,16.67,-,-,55
"60QK000111",57,1.75,47.37,36.84,10.53,3.51,95
"60QK000112",47,36.17,51.06,10.64,2.13,-,37
"60QK000113",63,39.68,46.03,11.11,3.17,-,49
"60QK000114",44,40.91,47.73,11.36,-,-,31
"60QK000115",82,50.00,35.37,12.20,1.22,1.22,56
"60QK000116",77,37.66,46.75,6.49,6.49,2.60,69
"60QK000117",76,61.84,22.37,14.47,1.32,-,42
"60QK000118",49,42.86,42.86,10.20,4.08,-,37
"60QK000119",47,42.55,40.43,12.77,2.13,2.13,39
"60QK000120",55,49.09,34.55,16.36,-,-,37
"60QK000121",52,28.85,57.69,7.69,5.77,-,47
"60QK000122",46,34.78,52.17,13.04,-,-,36
"60QK000123",48,54.17,29.17,14.58,2.08,-,31
"60QK000124",57,42.11,42.11,15.79,-,-,42
"60QK000125",39,53.85,33.33,12.82,-,-,23
"60QK000126",58,39.66,46.55,8.62,5.17,-,46
"60QK000127",42,33.33,54.76,11.90,-,-,33
"60QK000128",44,36.36,47.73,13.64,2.27,-,36
"60QK000129",42,28.57,57.14,11.90,2.38,-,37
"60QK000130",61,36.07,55.74,4.92,3.28,-,46
"60QK000131",44,22.73,65.91,11.36,-,-,39
"60QK000132",63,44.44,46.03,7.94,1.59,-,42
"60QK000133",65,21.54,64.62,10.77,3.08,-,62
"60QK000134",69,63.77,31.88,4.35,-,-,28
"60QK000135",32,59.38,34.38,6.25,-,-,15
"60QK000136",62,20.97,56.45,20.97,1.61,-,64
"60QK000137",43,39.53,58.14,2.33,-,-,27
"60QK000138",51,37.25,52.94,3.92,3.92,1.96,41
"60QK000139",49,30.61,65.31,4.08,-,-,36
"60QK000140",66,57.58,33.33,6.06,3.03,-,36
"60QK000141",68,17.65,58.82,16.18,5.88,1.47,78
"60QK000142",66,46.97,40.91,9.09,3.03,-,45
"60QK000143",54,40.74,46.30,11.11,1.85,-,40
"60QK000144",52,46.15,36.54,17.31,-,-,37
"60QK000145",35,25.71,37.14,34.29,2.86,-,40
"60QK000146",56,42.86,39.29,17.86,-,-,42
"60QK000147",59,27.12,47.46,16.95,8.47,-,63
"60QK000148",46,26.09,60.87,10.87,2.17,-,41
"60QK000149",60,20.00,41.67,33.33,3.33,1.67,75
"60QK000150",76,48.68,42.11,9.21,-,-,46
"60QK000151",72,61.11,33.33,5.56,-,-,32
"60QK000152",41,14.63,63.41,14.63,7.32,-,47
"60QK000153",39,51.28,33.33,15.38,-,-,25
"60QK000154",54,38.89,50.00,11.11,-,-,39
"60QK000155",50,36.00,42.00,20.00,-,2.00,45
"60QK000156",48,43.75,52.08,4.17,-,-,29
"60QK000157",41,29.27,43.90,24.39,2.44,-,41
"60QK000158",51,54.90,37.25,7.84,-,-,27
"60QK000159",58,41.38,51.72,5.17,1.72,-,39
"60QK000160",46,36.96,58.70,2.17,2.17,-,32
"60QK000161",51,43.14,41.18,11.76,1.96,1.96,42
"60QK000162",44,47.73,43.18,6.82,2.27,-,28
"60QK000163",40,37.50,45.00,17.50,-,-,32
"60QK000164",46,43.48,50.00,6.52,-,-,29
"60QK000165",48,39.58,45.83,10.42,4.17,-,38
"60QK000166",34,32.35,26.47,26.47,11.76,2.94,43
"60QK000167",60,63.33,25.00,8.33,3.33,-,31
"60QK000168",52,25.00,34.62,21.15,19.23,-,70
"60QK000169",34,14.71,47.06,26.47,8.82,2.94,47
"60QK000170",50,10.00,42.00,42.00,6.00,-,72
"60QK000171",31,-,48.39,35.48,12.90,3.23,53
